00 37455 and                      # - 
                                  # 15        10101 00000 00000 000(00)
                                  # 15555     01010 10101 01010 101
                                  # XOR       11111 10100 01010 101
                                  # 3f455     11 1111 0100 0101 0101

00 2c455 . and                    # nop -
                                  # 1c 15     11100 10101 00000 000(00)
                                  # 15555     01010 10101 01010 101
                                  # XOR       10110 00000 01010 101
                                  # 2c055     10 1100 0000 0101 0101

00 2c9dd . . and                  # nop nop -
                                  # 1c 1c 15  11100 11100 10101 000(00)
                                  # 15555     01010 10101 01010 101
                                  # XOR       10110 01001 11111 101
                                  # 2c9fd     10 1100 1001 1111 1101

