00 25455 dup                      # dup 
                                  # 18        11000 00000 00000 000(00)
                                  # 15555     01010 10101 01010 101
                                  # XOR       10010 10100 01010 101
                                  # 25455     10 0101 0100 0101 0101

00 2cd55 . dup                    # nop dup 
                                  # 1c 18     11100 11000 00000 000(00)
                                  # 15555     01010 10101 01010 101
                                  # XOR       10110 01101 01010 101
                                  # 2cd55     10 1100 1101 0101 0101

00 2c995 . . dup                  # nop nop dup 
                                  # 1c 1c 18  11100 11100 11000 000(00)
                                  # 15555     01010 10101 01010 101
                                  # XOR       10110 01001 10010 101
                                  # 2c995     10 1100 1001 1001 0101

00 2c9b3 . . . dup                # nop nop nop dup 
                                  # 1c 1c 1c 18  11100 11100 11100 110(00)
                                  # 15555        01010 10101 01010 101
                                  # XOR          10110 01001 10110 011
                                  # 2c9b3        10 1100 1001 1011 0011
